text,date,text_cleaned,tokens,compound,predicted_sentiment
Not even a Ramayan for kids.,21 August 2023,not even a ramayan for kids,"['even', 'ramayan', 'kid']",0.0,positive
Missed a big opportunity to create a historic movie... pathetic,21 August 2023,missed a big opportunity to create a historic movie pathetic,"['missed', 'big', 'opportunity', 'create', 'historic', 'movie', 'pathetic']",-0.25,negative
This is Not Ramayana - May be some Unfinished Video Game?,20 August 2023,this is not ramayana  may be some unfinished video game,"['ramayana', 'may', 'unfinished', 'video', 'game']",0.0,positive
Not up to the mark,20 August 2023,not up to the mark,['mark'],0.0,positive
"Great movie with good storytelling, music and acting performance",20 August 2023,great movie with good storytelling music and acting performance,"['great', 'movie', 'good', 'storytelling', 'music', 'acting', 'performance']",0.7906,positive
Injustice to character of Lord Hanuman,20 August 2023,injustice to character of lord hanuman,"['injustice', 'character', 'lord', 'hanuman']",-0.5719,negative
Watch if you wanna experience regret.,20 August 2023,watch if you wanna experience regret,"['watch', 'wan', 'na', 'experience', 'regret']",-0.4215,negative
Jai sri ram,20 August 2023,jai sri ram,"['jai', 'sri', 'ram']",0.0,positive
A disaster and far from Truth and belief,20 August 2023,a disaster and far from truth and belief,"['disaster', 'far', 'truth', 'belief']",-0.4215,negative
Disappointed!!!,20 August 2023,disappointed,['disappointed'],-0.4767,negative
Can we even call this a movie?,19 August 2023,can we even call this a movie,"['even', 'call', 'movie']",0.0,positive
"""Visually Struggling 'Adipurush' Misses the Mark: A Mythological Epic Hindered by Shoddy Visual Effects""",19 August 2023,visually struggling adipurush misses the mark a mythological epic hindered by shoddy visual effects,"['visually', 'struggling', 'adipurush', 'miss', 'mark', 'mythological', 'epic', 'hindered', 'shoddy', 'visual', 'effect']",-0.5719,negative
Take this movie off all the OTT platforms,19 August 2023,take this movie off all the ott platforms,"['take', 'movie', 'ott', 'platform']",0.0,positive
Unfair to the makers of this movie,18 August 2023,unfair to the makers of this movie,"['unfair', 'maker', 'movie']",-0.4767,negative
Aadipurush Movie Review - A Big Letdown,18 August 2023,aadipurush movie review  a big letdown,"['aadipurush', 'movie', 'review', 'big', 'letdown']",0.0,positive
A differently presented version of the epic,18 August 2023,a differently presented version of the epic,"['differently', 'presented', 'version', 'epic']",0.0,positive
Wildly incredible and entertaining,18 August 2023,wildly incredible and entertaining,"['wildly', 'incredible', 'entertaining']",0.4404,positive
Emotionless Depiction of Ramayan,18 August 2023,emotionless depiction of ramayan,"['emotionless', 'depiction', 'ramayan']",0.0,positive
Vishayaheen,17 August 2023,vishayaheen,['vishayaheen'],0.0,positive
Worst movie,17 August 2023,worst movie,"['worst', 'movie']",-0.6249,negative
Skeletor was in the wrong movie.,16 August 2023,skeletor was in the wrong movie,"['skeletor', 'wrong', 'movie']",-0.4767,negative
The Worst Representation of the Mythology,16 August 2023,the worst representation of the mythology,"['worst', 'representation', 'mythology']",-0.6249,negative
I am a Muslim & I dislike this movie,16 August 2023,i am a muslim  i dislike this movie,"['muslim', 'dislike', 'movie']",-0.3818,negative
Amazingly Well Made Movie,16 August 2023,amazingly well made movie,"['amazingly', 'well', 'made', 'movie']",0.3384,positive
Manoj muntashir - pathetic dialogues poor direction,16 August 2023,manoj muntashir  pathetic dialogues poor direction,"['manoj', 'muntashir', 'pathetic', 'dialogue', 'poor', 'direction']",-0.7783,negative
Got headache after watching it,15 August 2023,got headache after watching it,"['got', 'headache', 'watching']",0.0,positive
avoid this movie... don't even try in OTT like we did,15 August 2023,avoid this movie dont even try in ott like we did,"['avoid', 'movie', 'dont', 'even', 'try', 'ott', 'like']",0.0772,positive
It's Cartoon,15 August 2023,its cartoon,['cartoon'],0.0,positive
An amazing opportunity lost,15 August 2023,an amazing opportunity lost,"['amazing', 'opportunity', 'lost']",0.6486,positive
1 Star is for the music and background score,15 August 2023,1 star is for the music and background score,"['1', 'star', 'music', 'background', 'score']",0.0,positive
A epic blunder,15 August 2023,a epic blunder,"['epic', 'blunder']",0.0,positive
Worst making,15 August 2023,worst making,"['worst', 'making']",-0.6249,negative
Worst depiction or inspiration from Ramayana,15 August 2023,worst depiction or inspiration from ramayana,"['worst', 'depiction', 'inspiration', 'ramayana']",-0.1779,negative
Defining disappointment,15 August 2023,defining disappointment,"['defining', 'disappointment']",-0.5106,negative
Seetha is actually Raven's Daughter! Most people Know it by now. This movie is nonsense!,15 August 2023,seetha is actually ravens daughter most people know it by now this movie is nonsense,"['seetha', 'actually', 'raven', 'daughter', 'people', 'know', 'movie', 'nonsense']",-0.4019,negative
A Modern Misstep in Ramayana's Retelling,15 August 2023,a modern misstep in ramayanas retelling,"['modern', 'misstep', 'ramayana', 'retelling']",0.0,positive
To watch or not to watch,15 August 2023,to watch or not to watch,"['watch', 'watch']",0.0,positive
Absolute Disappointment and felt Cheated,15 August 2023,absolute disappointment and felt cheated,"['absolute', 'disappointment', 'felt', 'cheated']",-0.765,negative
What the hell is this movie,15 August 2023,what the hell is this movie,"['hell', 'movie']",-0.6808,negative
Unfortunately you can't rate any movie below 1,15 August 2023,unfortunately you cant rate any movie below 1,"['unfortunately', 'cant', 'rate', 'movie', '1']",-0.34,negative
What was Om Raut thinking?,14 August 2023,what was om raut thinking,"['om', 'raut', 'thinking']",0.0,positive
"""Adipurush: A Missed Opportunity""",14 August 2023,adipurush a missed opportunity,"['adipurush', 'missed', 'opportunity']",0.1531,positive
A lost opportunity!,14 August 2023,a lost opportunity,"['lost', 'opportunity']",0.128,positive
Adipurush: A Missed Opportunity!,14 August 2023,adipurush a missed opportunity,"['adipurush', 'missed', 'opportunity']",0.1531,positive
I demand investigation,14 August 2023,i demand investigation,"['demand', 'investigation']",-0.128,negative
Adhi Script+Adhi VFX+Adhi Tatti= Adipurush,14 August 2023,adhi scriptadhi vfxadhi tatti adipurush,"['adhi', 'scriptadhi', 'vfxadhi', 'tatti', 'adipurush']",0.0,positive
worst film with wrong story,14 August 2023,worst film with wrong story,"['worst', 'film', 'wrong', 'story']",-0.802,negative
Cringe made on purpose.,14 August 2023,cringe made on purpose,"['cringe', 'made', 'purpose']",0.0,positive
Ruin the indian history,14 August 2023,ruin the indian history,"['ruin', 'indian', 'history']",-0.5859,negative
Full sympathy for people who watched it in theatre.,14 August 2023,full sympathy for people who watched it in theatre,"['full', 'sympathy', 'people', 'watched', 'theatre']",0.3612,positive
I wish I could give this a minus star,14 August 2023,i wish i could give this a minus star,"['wish', 'could', 'give', 'minus', 'star']",0.4019,positive
Hit or Flop Or...,14 August 2023,hit or flop or,"['hit', 'flop']",-0.34,negative
Super Mytho with a New taste,14 August 2023,super mytho with a new taste,"['super', 'mytho', 'new', 'taste']",0.5994,positive
Much Worse than reviews,14 August 2023,much worse than reviews,"['much', 'worse', 'review']",-0.4767,negative
"Attempt to modernize, ended up pedestrian",14 August 2023,attempt to modernize ended up pedestrian,"['attempt', 'modernize', 'ended', 'pedestrian']",0.0,positive
Worst Movie,14 August 2023,worst movie,"['worst', 'movie']",-0.6249,negative
Everything Poor,14 August 2023,everything poor,"['everything', 'poor']",-0.4767,negative
D Grade kids movie,13 August 2023,d grade kids movie,"['grade', 'kid', 'movie']",0.0,positive
Nothing wrong with this movie,13 August 2023,nothing wrong with this movie,"['nothing', 'wrong', 'movie']",0.3724,positive
An unimaginative bland retelling of Ramayan.,13 August 2023,an unimaginative bland retelling of ramayan,"['unimaginative', 'bland', 'retelling', 'ramayan']",0.0,positive
Chutiya Prabhas and Devdutta,13 August 2023,chutiya prabhas and devdutta,"['chutiya', 'prabhas', 'devdutta']",0.0,positive
Truly disappointing- Expectation was my kids would learn about our history,13 August 2023,truly disappointing expectation was my kids would learn about our history,"['truly', 'disappointing', 'expectation', 'kid', 'would', 'learn', 'history']",-0.0772,negative
It was bound to be a failure!,13 August 2023,it was bound to be a failure,"['bound', 'failure']",-0.5106,negative
Wasn't there anyone who could have told?,13 August 2023,wasnt there anyone who could have told,"['wasnt', 'anyone', 'could', 'told']",0.0,positive
"Direction, Casting Director, Editing, Dialogues!!! Where do I start and how were they hired for such a divine and epic Story???",13 August 2023,direction casting director editing dialogues where do i start and how were they hired for such a divine and epic story,"['direction', 'casting', 'director', 'editing', 'dialogue', 'start', 'hired', 'divine', 'epic', 'story']",0.5574,positive
Cinematography & VFX Good but a Conspiracy Ramayana !,13 August 2023,cinematography  vfx good but a conspiracy ramayana ,"['cinematography', 'vfx', 'good', 'conspiracy', 'ramayana']",-0.5647,negative
Pathetic,13 August 2023,pathetic,['pathetic'],-0.5719,negative
OTT release review - worse than what theatrical release had reviews,13 August 2023,ott release review  worse than what theatrical release had reviews,"['ott', 'release', 'review', 'worse', 'theatrical', 'release', 'review']",-0.4767,negative
Really badly made 🙃,13 August 2023,really badly made ,"['really', 'badly', 'made']",-0.5256,negative
Absolutely Pathetic movie and waste of talent and money,13 August 2023,absolutely pathetic movie and waste of talent and money,"['absolutely', 'pathetic', 'movie', 'waste', 'talent', 'money']",-0.6115,negative
Worse than Heard,13 August 2023,worse than heard,"['worse', 'heard']",-0.4767,negative
"Its ok if they wanted their own version, but why so lame?",13 August 2023,its ok if they wanted their own version but why so lame,"['ok', 'wanted', 'version', 'lame']",-0.6513,negative
Huge disappointment,13 August 2023,huge disappointment,"['huge', 'disappointment']",-0.25,negative
Horrible parody,12 August 2023,horrible parody,"['horrible', 'parody']",-0.5423,negative
""" Pappa, why this movie is like a cartoon """,12 August 2023, pappa why this movie is like a cartoon ,"['pappa', 'movie', 'like', 'cartoon']",0.3612,positive
This is the worst movie i've ever seen.,12 August 2023,this is the worst movie ive ever seen,"['worst', 'movie', 'ive', 'ever', 'seen']",-0.6249,negative
Looks like if Warner Bros and Marvel collaborated to make the movie,12 August 2023,looks like if warner bros and marvel collaborated to make the movie,"['look', 'like', 'warner', 'bros', 'marvel', 'collaborated', 'make', 'movie']",0.6486,positive
Has to be on top 3 worst movie list of all times.,12 August 2023,has to be on top 3 worst movie list of all times,"['top', '3', 'worst', 'movie', 'list', 'time']",-0.5106,negative
"Yeah, I didn't rate 7 by mistake 😄",12 August 2023,yeah i didnt rate 7 by mistake ,"['yeah', 'didnt', 'rate', '7', 'mistake']",0.5,positive
Pure Disappointment,12 August 2023,pure disappointment,"['pure', 'disappointment']",-0.5106,negative
"These people should be banned,how they dared to play with Hindu Mythology , Hindu Gods",12 August 2023,these people should be bannedhow they dared to play with hindu mythology  hindu gods,"['people', 'bannedhow', 'dared', 'play', 'hindu', 'mythology', 'hindu', 'god']",0.34,positive
Need to show kids real ramayan before they can watch this by mistake,12 August 2023,need to show kids real ramayan before they can watch this by mistake,"['need', 'show', 'kid', 'real', 'ramayan', 'watch', 'mistake']",-0.34,negative
This movie was not it,12 August 2023,this movie was not it,['movie'],0.0,positive
Worst understanding of actual story by writer,12 August 2023,worst understanding of actual story by writer,"['worst', 'understanding', 'actual', 'story', 'writer']",-0.6249,negative
Pathetic movie - full of flaws with changed story lines,12 August 2023,pathetic movie  full of flaws with changed story lines,"['pathetic', 'movie', 'full', 'flaw', 'changed', 'story', 'line']",-0.5719,negative
Adipurush on ott,12 August 2023,adipurush on ott,"['adipurush', 'ott']",0.0,positive
Are you serious?,12 August 2023,are you serious,['serious'],-0.0772,negative
No soul!!! Result of trying to outdo a story that has been loved by billions of people for thousand of years.,11 August 2023,no soul result of trying to outdo a story that has been loved by billions of people for thousand of years,"['soul', 'result', 'trying', 'outdo', 'story', 'loved', 'billion', 'people', 'thousand', 'year']",0.4019,positive
Worst adaptation of Ramayana. This will just misguide from the real facts,11 August 2023,worst adaptation of ramayana this will just misguide from the real facts,"['worst', 'adaptation', 'ramayana', 'misguide', 'real', 'fact']",-0.6249,negative
Give me back my time,11 August 2023,give me back my time,"['give', 'back', 'time']",0.0,positive
"Less of a movie, more of an endurance test.",11 August 2023,less of a movie more of an endurance test,"['le', 'movie', 'endurance', 'test']",0.0,positive
Hopeless and Miserable,11 August 2023,hopeless and miserable,"['hopeless', 'miserable']",-0.7351,negative
Worst movie ever,11 August 2023,worst movie ever,"['worst', 'movie', 'ever']",-0.6249,negative
You have to be on bhang to watch for 15 minutes,11 August 2023,you have to be on bhang to watch for 15 minutes,"['bhang', 'watch', '15', 'minute']",0.0,positive
How not to make a movie... Tutorial,30 July 2023,how not to make a movie tutorial,"['make', 'movie', 'tutorial']",0.0,positive
Adipurush = Bahubali Parody + Duke 3D + Planet of the Apes + Avengers + some rubbish,26 July 2023,adipurush  bahubali parody  duke 3d  planet of the apes  avengers  some rubbish,"['adipurush', 'bahubali', 'parody', 'duke', '3d', 'planet', 'ape', 'avenger', 'rubbish']",0.0,positive
Adipurush - A Frustrating Mess,25 July 2023,adipurush  a frustrating mess,"['adipurush', 'frustrating', 'mess']",-0.6597,negative
India's most expensive fail ever,22 July 2023,indias most expensive fail ever,"['india', 'expensive', 'fail', 'ever']",-0.5829,negative
